id,label
1496763381008801793,1
1496854293219094539,0
1496913824498257930,0
1497038644951007232,0
1497063612053135362,0
1497202725754343424,1
1497499660554022915,1
1497525595198140416,1
1497571420943323137,0
1497579562112278534,0
1497586004609306625,1
1497616740561391619,0
1497811384477749253,0
1497828989938905089,1
1497841623329292291,1
1497843120121200643,0
1497845596383817738,1
1497848652282347527,1
1497849727353827329,0
1497849966236250115,1
1497890986189627397,0
1497892803799486464,1
1497977482355609602,1
1497984584801267721,0
1498065328793960450,0
1498205616019439618,1
1498230908767244288,0
1498287740785692675,0
1498303164843495432,1
1498331664585408517,0
1498332952341659657,1
1498344914115039241,0
1498347043651153921,0
1498355374721667072,1
1498369311320195074,1
1498390033975422979,0
1498422289779793921,0
1498436113756794894,0
1498507264415649792,0
1498535767274147840,0
1498540282102562818,0
1498554963693342722,1
1498641594177757184,1
1498645217838354433,1
1498657435703144450,0
1498658879105908737,0
1498660408315428866,0
1498684668706705409,1
1498698623034347521,1
1498715804883378179,1
1498724538837868547,1
1498725276683014157,0
1498737726467760139,1
1498744745870475269,0
1498750823307923460,1
1498754690804293632,1
1498777555914088453,0
1498806245855305734,0
1498856048093970440,1
1498863392890572800,1
1498869037002067974,0
1498872931836780546,0
1498875937508950021,0
1498877008193163266,1
1498878241989402625,1
1498878591068962816,0
1498880557211701250,0
1498882188808691714,0
1498883532072095748,1
1498886352854601728,0
1498888482898468866,0
1498889300368244736,1
1498890236335693824,0
1498890687982743552,0
1498892949236637697,0
1498893355404693507,0
1498894663813640192,1
1498897804042797060,1
1498897990442184712,0
1498898474418454528,0
1498898631390203910,0
1498898953332756480,0
1498901325870145538,1
1498903107115560961,0
1498904546311086081,0
1498905415719219200,1
1498906088556703746,0
1498906091815682049,0
1498906901136183296,1
1498908114048929792,1
1498908358228811776,0
1498908453682794498,1
1498913272027881475,0
1498913323475030018,0
1498913442014830592,1
1498913614090145794,1
1498913813147668482,0
1498917780640649216,0
1498917967228198922,0
1498918447408893958,1
1498921538615136257,1
1498923317562126337,0
1498923673784397824,0
1498925178448924672,1
1498925506904920064,0
1498925960867217411,0
1498926427009273860,0
1498927875155804164,1
1498928431802855430,1
1498929320169197568,1
1498929620313206785,1
1498931528285446151,0
1498931889994108929,0
1498932735838244864,1
1498932773465296898,0
1498936112559140871,1
1498936571680100352,1
1498937161197969411,0
1498937163836178437,1
1498938990896238593,0
1498939101181059073,0
1498941219510288388,0
1498941276393127939,1
1498945833257086979,1
1498946236459585542,1
1498946652719230977,0
1498947560064499717,1
1498949732303093761,0
1498952110091563014,1
1498953899000094720,1
1498955736780574721,0
1498955959997288448,0
1498956996644831235,0
1498958098949574659,0
1498959270796316673,0
1498960776492728325,1
1498963705870041091,0
1498966347497287681,1
1498967252514791425,0
1498967827822354439,0
1498969657671176192,1
1498972421743071233,0
1498973640758800385,0
1498974035593641990,1
1498976545959866372,0
1498977353489334278,0
1498978225636220929,1
1498978481342148616,0
1498979187444822018,1
1498979641045966848,0
1498979904347844614,1
1498980664892403712,0
1498981661559697408,0
1498983543837396992,0
1498986224631291905,1
1498988440649891842,1
1498991025590841349,1
1498993547973992451,0
1498998364700041220,1
1498998510175539200,0
1498999270892085258,0
1499000701304946694,0
1499001863928102912,0
1499004063438057483,0
1499005104824803334,0
1499006068814401542,1
1499014801120542727,1
1499019927583404040,0
1499022025649577985,0
1499031053524439043,1
1499031104308850689,0
1499032959642386434,0
1499036688999677954,0
1499038038164340739,1
1499041116813131777,1
1499048894285631492,0
1499051292626341895,0
1499051329167237122,1
1499053142524182536,1
1499053430303825929,0
1499059497687564289,1
1499060538931699712,1
1499062550889058307,0
1499066073714360323,1
1499066315168002050,1
1499068697058627600,1
1499076042853695489,0
1499076377798139908,1
1499077395646599174,1
1499078155570720769,1
1499078796137349124,0
1499079388754681861,0
1499079807304445958,1
1499079873566027776,0
1499080280736505871,0
